filename: be-dietary-recommendations-for-the-belgian-population.pdf | removed_pages: [1, 2, 5, 6, 7, 8, 14, 15, 16, 25, 26, 30, 34, 41, 42, 49, 52, 53, 57, 64, 65, 68, 69, 72, 77, 84, 85, 86, 90, 97, 98, 102, 103, 109, 110, 118, 119, 120, 127, 128, 129, 130, 131, 132]
filename: bg-food-based-dietary-guidelines-for-adults-in-bulgaria.pdf | removed_pages: [2, 3, 41]
filename: de-eat-and-drink-well-recommendations-of-the-german-nutrition-society-dge.pdf | removed_pages: []
filename: dk-the-official-dietary-guidelines-good-for-health-and-climate.pdf | removed_pages: [1, 11]
filename: es-healthy-and-sustainable-dietary-recommendations.pdf | removed_pages: [1, 2, 19]
filename: fi-sustainable-health-from-food.pdf | removed_pages: [1, 2, 3, 4, 7, 8, 12, 29, 30, 67, 78, 94, 118, 119]
filename: fr-recommendations-relating-to-diet-physical-activity-and-a-sedentary-lifestyle.pdf | removed_pages: [1, 3, 4, 5, 26, 40, 41, 47, 55, 63]
filename: hu-dietary-guidelines-for-4-17-year-olds.pdf | removed_pages: []
filename: hu-dietary-guidelines-for-the-general-population.pdf | removed_pages: []
filename: ie-cereals-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-childrens-food-pyramid-poster-for-parents.pdf | removed_pages: []
filename: ie-childrens-food-pyramid-poster-for-professionals.pdf | removed_pages: []
filename: ie-childrens-food-pyramid-questions-and-answers.pdf | removed_pages: []
filename: ie-dairy-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-expanded-food-pyramid-poster.pdf | removed_pages: []
filename: ie-fats-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-food-guide-for-fats-oils-and-spreads.pdf | removed_pages: []
filename: ie-food-guide-on-milk-yogurt-and-cheese.pdf | removed_pages: []
filename: ie-food-guide-on-poultry-fish-eggs-beans-and-nuts.pdf | removed_pages: []
filename: ie-food-guide-on-vegatables-salad-and-fruit.pdf | removed_pages: []
filename: ie-food-guide-to-cereals-breads-potatoes-pasta-and-rice.pdf | removed_pages: []
filename: ie-food-pyramid-information-leaflet.pdf | removed_pages: []
filename: ie-food-pyramid-poster.pdf | removed_pages: []
filename: ie-food-pyramid-to-daily-meal-plan-for-aged-10.pdf | removed_pages: []
filename: ie-food-pyramid-to-daily-meal-plan-for-aged-21.pdf | removed_pages: []
filename: ie-food-pyramid-to-daily-meal-plan-for-aged-30.pdf | removed_pages: []
filename: ie-food-pyramid-to-daily-meal-plan-for-aged-52.pdf | removed_pages: []
filename: ie-guide-for-foods-high-in-fats-sugar-and-salt.pdf | removed_pages: []
filename: ie-happy-healthy-mealtimes.pdf | removed_pages: []
filename: ie-healthy-eating-guidelines-for-1-to-4-year-olds.pdf | removed_pages: [4]
filename: ie-key-messages.pdf | removed_pages: []
filename: ie-meal-plan-age-1.pdf | removed_pages: []
filename: ie-meal-plan-age-2.pdf | removed_pages: []
filename: ie-meal-plan-age-3.pdf | removed_pages: []
filename: ie-meal-plan-age-3-vegetarian.pdf | removed_pages: []
filename: ie-meal-plan-age-4.pdf | removed_pages: []
filename: ie-meat-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-portions.pdf | removed_pages: []
filename: ie-snacks.pdf | removed_pages: []
filename: ie-the-children-s-food-pyramid.pdf | removed_pages: [1]
filename: ie-top-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-vegetable-shelf-fact-sheet.pdf | removed_pages: []
filename: ie-vitamin-d.pdf | removed_pages: []
filename: mt-dietary-guidelines-for-maltese-adults.pdf | removed_pages: [1, 2, 4, 16]
filename: nl-dutch-dietary-guidelines.pdf | removed_pages: [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 17, 24, 29, 37, 47, 53, 55, 61, 65, 73, 77, 78, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]
filename: nl-eating-more-sustainably.pdf | removed_pages: [9, 10]
filename: nl-the-wheel-of-five.pdf | removed_pages: []
filename: se-advice-about-food-for-you-who-are-breastfeeding.pdf | removed_pages: [1]
filename: se-advice-about-food-for-you-who-are-pregnant.pdf | removed_pages: [1, 7]
filename: se-dietary-advice-for-adults.pdf | removed_pages: []
filename: se-good-food-for-children-between-one-and-two-years.pdf | removed_pages: [1, 2, 23, 24]
