min_topic_size,anchor,bertopic_clusters
15,olive_oil,2
15,legume,2
15,fish,9
15,dietary_fibre,13
10,olive_oil,2
10,legume,3
10,fish,13
10,dietary_fibre,25
7,olive_oil,2
7,legume,5
7,fish,20
7,dietary_fibre,41
5,olive_oil,2
5,legume,10
5,fish,37
5,dietary_fibre,56
3,olive_oil,8
3,legume,17
3,fish,71
3,dietary_fibre,93
