anchor,n_chunks,leiden_clusters,bertopic_clusters,leiden_coverage,bertopic_coverage,leiden_outlier_frac,bertopic_outlier_frac,leiden_silhouette,bertopic_silhouette,keyword_jaccard,bertopic_min_topic_size
olive_oil,185,6,2,0.876,0.989,0.124,0.011,0.085,0.239,0.273,15
legume,187,6,2,0.888,0.765,0.112,0.235,0.064,0.235,0.333,15
fish,789,15,9,0.933,0.833,0.067,0.167,0.058,0.107,0.338,15
dietary_fibre,1216,14,13,0.905,0.659,0.095,0.341,0.032,0.088,0.397,15
